Rank,Year,Stock exchange,MIC,Region,Market place,Market cap,Monthly trade volume,Time zone,Δ,DST,Open,Close,Lunch,Open,Close
Rank,Year,Stock exchange,MIC,Region,Market place,(USD bn),(USD bn),Time zone,Δ,DST,(local time),(local time),(local time),"(UTC, winter only)","(UTC, winter only)"
1,2019,New York Stock Exchange,XNYS,United States,New York City,"22,923","1,452",EST/EDT,−5,Mar–Nov,09:30,16:00,No,14:30,21:00
2,2019,Nasdaq,XNAS,United States,New York City,"10,857","1,262",EST/EDT,−5,Mar–Nov,09:30,16:00,No,14:30,21:00
3,2019,Japan Exchange Group,XJPX,Japan,TokyoOsaka,"5,679",481,JST,+9,,09:00,15:00,11:30–12:30,00:00,06:00
4,2019,London Stock Exchange,XLONXMIL,United Kingdom Italy,LondonMilan,"4,590",219,GMT/BST,+0,Mar–Oct,08:00,16:30,No,08:00,16:30
5,2019,Shanghai Stock Exchange,XSHG,China,Shanghai,"4,026",536,CST,+8,,09:30,15:00,11:30–13:00,01:30,07:00
6,2019,Hong Kong Stock Exchange,XHKG,Hong Kong,Hong Kong,"3,936",182,HKT,+8,,09:30,*16:00/16:08-16:10,12:00–13:00,01:30,*08:00/08:08-08:10
7,2019,Euronext,XAMSXBRUXMSMXLISXOSLXPAR,European Union,AmsterdamBrusselsDublinLisbonOsloParis,"3,927",174,CET/CEST,+1,Mar–Oct,09:00,17:30,No,08:00,16:30
8,2019,Toronto Stock Exchange,XTSE,Canada,Toronto,"3,256",97,EST/EDT,−5,Mar–Nov,09:30,16:00,No,14:30,21:00
9,2019,Shenzhen Stock Exchange,XSHE,China,Shenzhen,"2,504",763,CST,+8,,09:30,15:00,11:30–13:00,01:30,07:00
10,2019,Bombay Stock Exchange,XBOM,India,Mumbai,"2,056",210,IST,+5.30,,09:15,15:30,No,03:45,10:00
11,2019,National Stock Exchange,XNSE,India,Mumbai,"2,030",196,IST,+5.30,,09:15,15:30,No,03:45,10:00
12,2019,Deutsche Börse,XFRA,Germany,Frankfurt,"1,864",140,CET/CEST,+1,Mar–Oct,08:00 (Eurex)08:00 (floor)09:00 (Xetra),22:00 (Eurex)20:00 (floor)17:30 (Xetra),No,07:00,21:00
13,2019,SIX Swiss Exchange,XSWX,Switzerland,Zurich,"1,523",77,CET/CEST,+1,Mar–Oct,09:00,17:30,No,08:00,16:30
14,2019,Korea Exchange,XKOS,South Korea,SeoulBusan,"1,463",277,KST,+9,,09:00,15:30,No,00:00,06:30
15,2019,Nasdaq Nordic Exchanges,Nasdaq Nordic Exchanges,Nasdaq Nordic Exchanges,Nasdaq Nordic Exchanges,"1,372",72,,,,,,,,
15,2019,Copenhagen Stock Exchange,XCSE,Denmark,Copenhagen,"1,372",72,CET//CEST,+1,Mar–Oct,09:00,17:00,No,8:00,16:00
15,2019,Stockholm Stock Exchange,XSTO,Sweden,Stockholm,"1,372",72,CET/CEST,+1,Mar–Oct,09:00,17:30,No,8:00,16:30
15,2019,Helsinki Stock Exchange,XHEL,Finland,Helsinki,"1,372",72,EET/EEST,+2,Mar–Oct,10:00,18:30,No,8:00,16:30
15,2019,Tallinn Stock Exchange,XTAL,Estonia,Tallinn,"1,372",72,EET/EEST,+2,Mar–Oct,10:00,16:00,No,8:00,14:00
15,2019,Riga Stock Exchange,XRIS,Latvia,Riga,"1,372",72,EET/EEST,+2,Mar–Oct,10:00,16:00,No,8:00,14:00
15,2019,Vilnius Stock Exchange,XLIT,Lithuania,Vilnius,"1,372",72,EET/EEST,+2,Mar–Oct,10:00,16:00,No,8:00,14:00
15,2019,Iceland Stock Exchange,XICE,Iceland,Iceland,"1,372",72,GMT,+0,,09:30,15:30,No,9:30,15:30
15,2019,Armenia Securities Exchange,XARM,Armenia,Yerevan,"1,372",72,AMT,+4,,10:00,15:00,No,7:00,11:00
16,2019,Australian Securities Exchange,XASX,Australia,Sydney,"1,328",,AEST/AEDT,+10,Oct–Apr,10:00,16:00,No,00:00,06:00
17,2019,Taiwan Stock Exchange,XTAI,Taiwan,Taipei,966,75,NST (Taiwan),+8,,09:00,13:30,No,01:00,05:30
18,2019,B3,BVMF,Brazil,São Paulo,938,62,BRT/BRST,−3,Oct–Feb,09:00,18:00,No,12:00,21:00
19,2019,JSE,XJSE,South Africa,Johannesburg,894,29,SAST,+2,,09:00,17:00,No,07:00,15:00
20,2019,Bolsas y Mercados Españoles,BMEX,Spain,Madrid,764,36,CET/CEST,+1,Mar–Oct,9:00,17:30,No,8:00,16:30
21,2018,Singapore Exchange,XSES,Singapore,Singapore,787,,SGT,+8,,09:00,17:00,12:00-13:00,01:00,09:00
22,2018,Moscow Exchange,XMOS,Russia,Moscow,619,,MSK,+3,,,,,,
23,2018,Stock Exchange of Thailand,XBKK,Thailand,Bangkok,549,,ICT,+7,,10:00,16:30,12:30-14:00,03:00,09:30
24,2020,Mexican Stock Exchange,XMEX,Mexico,Mexico City,530,,CST/CDT (DST MX),–6,Apr–Oct,08:30,15:00,No,14:30,21:00
25,2018,Indonesia Stock Exchange,XIDX,Indonesia,Jakarta,521,,WIB,+7,,09:30,16:00,12:00–13:30,02:30,09:00
